X:Pos_TX-Body2-基础接触模型(m),Y:Pos_TX-Body2-基础接触模型(m),Y:Pos_TY-Body2-基础接触模型(m),Y:Pos_TZ-Body2-基础接触模型(m)
0.11737800,1.5642593e-08,-0.049728842,-1.5983978e-08
0.11837800,1.6925584e-08,-0.049757394,-1.7289631e-08
0.11937800,1.8208578e-08,-0.049795752,-1.8595286e-08
0.12037800,1.9491573e-08,-0.049843917,-1.9900943e-08
0.12137800,2.0774569e-08,-0.049901889,-2.1206600e-08
0.12237800,2.2057565e-08,-0.049969667,-2.2512258e-08
0.12337800,2.3340564e-08,-0.050011562,-2.3817918e-08
0.12437800,6.5044448e-08,-0.050028451,-6.5538326e-08
0.12537800,1.9770827e-07,-0.050033448,-1.9820486e-07
0.12637800,3.5312020e-07,-0.050035546,-3.5361605e-07
0.12737800,5.1421915e-07,-0.050037273,-5.1471339e-07
0.12837800,6.7673986e-07,-0.050038951,-6.7723228e-07
0.12987800,9.2107382e-07,-0.050041267,-9.2156342e-07
0.13087800,1.0840684e-06,-0.050042644,-1.0845561e-06
0.13187800,1.2471026e-06,-0.050043892,-1.2475884e-06
0.13287800,1.4101564e-06,-0.050045019,-1.4106403e-06
0.13387800,1.5732202e-06,-0.050046034,-1.5737021e-06
0.13487800,1.7362888e-06,-0.050046949,-1.7367689e-06
0.13587800,1.8993600e-06,-0.050047771,-1.8998381e-06
0.13687800,2.0624323e-06,-0.050048510,-2.0629086e-06
0.13787800,2.2255053e-06,-0.050049174,-2.2259797e-06
0.13887800,2.3885786e-06,-0.050049770,-2.3890511e-06
0.13987800,2.5516521e-06,-0.050050304,-2.5521226e-06
0.14087800,2.7147256e-06,-0.050050783,-2.7151942e-06
0.14187800,2.8777992e-06,-0.050051212,-2.8782659e-06
0.14287800,3.0408727e-06,-0.050051597,-3.0413376e-06
0.14387800,3.2039463e-06,-0.050051942,-3.2044092e-06
0.14487800,3.3670199e-06,-0.050052252,-3.3674809e-06
0.14587800,3.5300935e-06,-0.050052530,-3.5305526e-06
0.14687800,3.6931671e-06,-0.050052779,-3.6936243e-06
0.14787800,3.8562407e-06,-0.050053004,-3.8566960e-06
0.14887800,4.0193143e-06,-0.050053205,-4.0197677e-06
0.14987800,4.1823879e-06,-0.050053386,-4.1828394e-06
0.15087800,4.3454615e-06,-0.050053548,-4.3459111e-06
0.15187800,4.5085351e-06,-0.050053694,-4.5089828e-06
0.15287800,4.6716087e-06,-0.050053826,-4.6720544e-06
0.15387800,4.8346823e-06,-0.050053945,-4.8351261e-06
0.15487800,4.9977559e-06,-0.050054053,-4.9981978e-06
0.15587800,5.1608295e-06,-0.050054151,-5.1612695e-06
0.15687800,5.3239031e-06,-0.050054240,-5.3243412e-06
0.15787800,5.4869766e-06,-0.050054320,-5.4874128e-06
0.15887800,5.6500502e-06,-0.050054393,-5.6504845e-06
0.15987800,5.8131238e-06,-0.050054459,-5.8135562e-06
0.16087800,5.9761974e-06,-0.050054519,-5.9766279e-06
0.16187800,6.1392710e-06,-0.050054573,-6.1396996e-06
0.16287800,6.3023446e-06,-0.050054624,-6.3027712e-06
0.16387800,6.4654182e-06,-0.050054669,-6.4658429e-06
0.16487800,6.6284917e-06,-0.050054711,-6.6289146e-06
0.16587800,6.7915653e-06,-0.050054750,-6.7919863e-06
0.16687800,6.9546389e-06,-0.050054787,-6.9550579e-06
0.16787800,7.1177125e-06,-0.050054822,-7.1181296e-06
0.16887800,7.2807861e-06,-0.050054855,-7.2812013e-06
0.16987800,7.4438597e-06,-0.050054887,-7.4442730e-06
0.17087800,7.6069332e-06,-0.050054918,-7.6073446e-06
0.17187800,7.7700068e-06,-0.050054947,-7.7704163e-06
0.17287800,7.9330804e-06,-0.050054975,-7.9334880e-06
0.17387800,8.0961540e-06,-0.050055000,-8.0965597e-06
0.17487800,8.2592276e-06,-0.050055025,-8.2596313e-06
0.17587800,8.4223011e-06,-0.050055047,-8.4227030e-06
0.17687800,8.5853747e-06,-0.050055070,-8.5857747e-06
0.17787800,8.7484483e-06,-0.050055092,-8.7488463e-06
0.17887800,8.9115219e-06,-0.050055115,-8.9119180e-06
0.17987800,9.0745955e-06,-0.050055137,-9.0749897e-06
0.18087800,9.2376690e-06,-0.050055158,-9.2380614e-06
0.18187800,9.4007426e-06,-0.050055179,-9.4011330e-06
0.18287800,9.5638162e-06,-0.050055199,-9.5642047e-06
0.18387800,9.7268898e-06,-0.050055219,-9.7272764e-06
0.18487800,9.8899633e-06,-0.050055240,-9.8903480e-06
0.18587800,1.0053037e-05,-0.050055261,-1.0053420e-05
0.18687800,1.0216110e-05,-0.050055281,-1.0216491e-05
0.18787800,1.0379184e-05,-0.050055303,-1.0379563e-05
0.18887800,1.0542258e-05,-0.050055323,-1.0542635e-05
0.18987800,1.0705331e-05,-0.050055343,-1.0705706e-05
0.19087800,1.0868405e-05,-0.050055365,-1.0868778e-05
0.19187800,1.1031478e-05,-0.050055387,-1.1031850e-05
0.19287800,1.1194552e-05,-0.050055410,-1.1194921e-05
0.19387800,1.1357626e-05,-0.050055433,-1.1357993e-05
0.19487800,1.1520699e-05,-0.050055456,-1.1521065e-05
0.19587800,1.1683773e-05,-0.050055478,-1.1684136e-05
0.19687800,1.1846846e-05,-0.050055501,-1.1847208e-05
0.19787800,1.2009920e-05,-0.050055524,-1.2010280e-05
0.19887800,1.2172993e-05,-0.050055548,-1.2173351e-05
0.19987800,1.2336067e-05,-0.050055572,-1.2336423e-05
0.20087800,1.2499141e-05,-0.050055596,-1.2499495e-05
0.20187800,1.2662214e-05,-0.050055621,-1.2662567e-05
0.20287800,1.2825288e-05,-0.050055646,-1.2825638e-05
0.20387800,1.2988361e-05,-0.050055671,-1.2988710e-05
0.20487800,1.3151435e-05,-0.050055697,-1.3151782e-05
0.20587800,1.3314509e-05,-0.050055723,-1.3314853e-05
0.20687800,1.3477582e-05,-0.050055750,-1.3477925e-05
0.20787800,1.3640656e-05,-0.050055777,-1.3640997e-05
0.20887800,1.3803729e-05,-0.050055806,-1.3804068e-05
0.20987800,1.3966803e-05,-0.050055834,-1.3967140e-05
0.21087800,1.4129877e-05,-0.050055863,-1.4130212e-05
0.21187800,1.4292950e-05,-0.050055892,-1.4293283e-05
0.21287800,1.4456024e-05,-0.050055923,-1.4456355e-05
0.21387800,1.4619097e-05,-0.050055954,-1.4619427e-05
0.21487800,1.4782171e-05,-0.050055986,-1.4782498e-05
0.21587800,1.4945244e-05,-0.050056018,-1.4945570e-05
0.21687800,1.5108318e-05,-0.050056051,-1.5108642e-05
0.21787800,1.5271392e-05,-0.050056085,-1.5271713e-05
0.21887800,1.5434465e-05,-0.050056119,-1.5434785e-05
0.21987800,1.5597539e-05,-0.050056154,-1.5597857e-05
0.22087800,1.5760612e-05,-0.050056189,-1.5760928e-05
0.22187800,1.5923686e-05,-0.050056225,-1.5924000e-05
0.22287800,1.6086759e-05,-0.050056263,-1.6087072e-05
0.22387800,1.6249833e-05,-0.050056301,-1.6250143e-05
0.22487800,1.6412907e-05,-0.050056339,-1.6413215e-05
0.22587800,1.6575980e-05,-0.050056379,-1.6576287e-05
0.22687800,1.6739054e-05,-0.050056419,-1.6739358e-05
0.22787800,1.6902127e-05,-0.050056461,-1.6902430e-05
0.22887800,1.7065201e-05,-0.050056503,-1.7065502e-05
0.22987800,1.7228274e-05,-0.050056545,-1.7228573e-05
0.23087800,1.7391348e-05,-0.050056589,-1.7391645e-05
0.23187800,1.7554422e-05,-0.050056633,-1.7554717e-05
0.23287800,1.7717495e-05,-0.050056680,-1.7717788e-05
0.23387800,1.7880569e-05,-0.050056726,-1.7880860e-05
0.23487800,1.8043642e-05,-0.050056774,-1.8043932e-05
0.23587800,1.8206716e-05,-0.050056822,-1.8207003e-05
0.23687800,1.8369789e-05,-0.050056872,-1.8370075e-05
0.23787800,1.8532863e-05,-0.050056924,-1.8533147e-05
0.23887800,1.8695937e-05,-0.050056976,-1.8696218e-05
0.23987800,1.8859010e-05,-0.050057030,-1.8859290e-05
0.24087800,1.9022084e-05,-0.050057084,-1.9022362e-05
0.24187800,1.9185157e-05,-0.050057139,-1.9185433e-05
0.24287800,1.9348231e-05,-0.050057195,-1.9348505e-05
0.24387800,1.9511305e-05,-0.050057253,-1.9511577e-05
0.24487800,1.9674378e-05,-0.050057313,-1.9674648e-05
0.24587800,1.9837452e-05,-0.050057375,-1.9837720e-05
0.24687800,2.0000525e-05,-0.050057439,-2.0000792e-05
0.24787800,2.0163599e-05,-0.050057504,-2.0163863e-05
