X:Pos_TX-Body5-slider_crank(mm),Y:Pos_TX-Body5-slider_crank(mm),Y:Pos_TY-Body5-slider_crank(mm),Y:Pos_TZ-Body5-slider_crank(mm)
0.45225300,47.334493,333.17756,-9.8788300e-13
0.45325300,46.612819,333.44148,-9.8882269e-13
0.45425300,45.889909,333.70375,-9.8976208e-13
0.45525300,45.165772,333.96437,-9.9070115e-13
0.45625300,44.440418,334.22332,-9.9163990e-13
0.45725300,43.713855,334.48060,-9.9257832e-13
0.45825300,42.986094,334.73621,-9.9351639e-13
0.45925300,42.257144,334.99013,-9.9445411e-13
0.46025300,41.527015,335.24236,-9.9539147e-13
0.46125300,40.795716,335.49289,-9.9632845e-13
0.46225300,40.063258,335.74172,-9.9726505e-13
0.46325300,39.329649,335.98884,-9.9820126e-13
0.46425300,38.594899,336.23424,-9.9913705e-13
0.46525300,37.859019,336.47791,-1.0000724e-12
0.46625300,37.122019,336.71985,-1.0010074e-12
0.46725300,36.383908,336.96006,-1.0019419e-12
0.46825300,35.644696,337.19852,-1.0028760e-12
0.46925300,34.904394,337.43523,-1.0038096e-12
0.47025300,34.163011,337.67019,-1.0047428e-12
0.47125300,33.420558,337.90338,-1.0056755e-12
0.47225300,32.677044,338.13481,-1.0066077e-12
0.47325300,31.932481,338.36446,-1.0075393e-12
0.47425300,31.186878,338.59233,-1.0084705e-12
0.47525300,30.440245,338.81841,-1.0094012e-12
0.47625300,29.692594,339.04270,-1.0103314e-12
0.47725300,28.943934,339.26519,-1.0112610e-12
0.47825300,28.194275,339.48588,-1.0121901e-12
0.47925300,27.443629,339.70476,-1.0131186e-12
0.48025300,26.692006,339.92182,-1.0140465e-12
0.48125300,25.939416,340.13707,-1.0149739e-12
0.48225300,25.185870,340.35048,-1.0159007e-12
0.48325300,24.431379,340.56207,-1.0168269e-12
0.48425300,23.675953,340.77182,-1.0177525e-12
0.48525300,22.919603,340.97973,-1.0186774e-12
0.48625300,22.162340,341.18579,-1.0196018e-12
0.48725300,21.404174,341.39000,-1.0205255e-12
0.48825300,20.645117,341.59235,-1.0214486e-12
0.48925300,19.885180,341.79285,-1.0223710e-12
0.49025300,19.124372,341.99147,-1.0232927e-12
0.49125300,18.362706,342.18822,-1.0242138e-12
0.49225300,17.600192,342.38310,-1.0251342e-12
0.49325300,16.836841,342.57610,-1.0260539e-12
0.49425300,16.072664,342.76721,-1.0269729e-12
0.49525300,15.307673,342.95643,-1.0278912e-12
0.49625300,14.541878,343.14376,-1.0288088e-12
0.49725300,13.775291,343.32919,-1.0297256e-12
