X:Pos_TX-Body2-slider_crank(mm),Y:Pos_TX-Body2-slider_crank(mm),Y:Pos_TY-Body2-slider_crank(mm),Y:Pos_TZ-Body2-slider_crank(mm)
0.0000000,-6.1136720e-28,150.00000,-1.7457407e-13
0.0010130000,-0.00046146421,150.00000,-1.7457408e-13
0.0020370000,-0.0018646805,150.00001,-1.7457411e-13
0.0030610000,-0.0042077710,150.00003,-1.7457416e-13
0.0040850000,-0.0074888035,150.00005,-1.7457424e-13
0.0051090000,-0.011705846,150.00008,-1.7457434e-13
0.0061330000,-0.016856967,150.00011,-1.7457446e-13
0.0071570000,-0.022940235,150.00015,-1.7457460e-13
0.0081810000,-0.029953719,150.00020,-1.7457476e-13
0.0092050000,-0.037895487,150.00025,-1.7457495e-13
0.010229000,-0.046763609,150.00030,-1.7457516e-13
0.011253000,-0.056556155,150.00037,-1.7457538e-13
0.012253000,-0.067009516,150.00043,-1.7457563e-13
0.013253000,-0.078340838,150.00050,-1.7457589e-13
0.014253000,-0.090548322,150.00058,-1.7457617e-13
0.015253000,-0.10363017,150.00066,-1.7457648e-13
0.016253000,-0.11758459,150.00074,-1.7457680e-13
0.017253000,-0.13240978,150.00082,-1.7457715e-13
0.018253000,-0.14810394,150.00091,-1.7457751e-13
0.019253000,-0.16466528,150.00101,-1.7457790e-13
0.020253000,-0.18209200,150.00110,-1.7457831e-13
0.021253000,-0.20038230,150.00120,-1.7457873e-13
0.022253000,-0.21953439,150.00130,-1.7457918e-13
0.023253000,-0.23954647,150.00141,-1.7457964e-13
0.024253000,-0.26041674,150.00151,-1.7458013e-13
0.025253000,-0.28214342,150.00162,-1.7458063e-13
0.026253000,-0.30472469,150.00172,-1.7458116e-13
0.027253000,-0.32815877,150.00183,-1.7458171e-13
0.028253000,-0.35244387,150.00194,-1.7458227e-13
0.029253000,-0.37757817,150.00204,-1.7458286e-13
0.030253000,-0.40355989,150.00215,-1.7458346e-13
0.031253000,-0.43038724,150.00225,-1.7458408e-13
0.032253000,-0.45805840,150.00235,-1.7458473e-13
0.033253000,-0.48657160,150.00245,-1.7458539e-13
0.034253000,-0.51592503,150.00255,-1.7458608e-13
0.035253000,-0.54611690,150.00265,-1.7458678e-13
0.036253000,-0.57714541,150.00274,-1.7458750e-13
0.037253000,-0.60900876,150.00282,-1.7458824e-13
0.038253000,-0.64170515,150.00291,-1.7458900e-13
0.039253000,-0.67523280,150.00298,-1.7458978e-13
0.040253000,-0.70958991,150.00305,-1.7459058e-13
0.041253000,-0.74477467,150.00312,-1.7459140e-13
0.042253000,-0.78078528,150.00317,-1.7459224e-13
0.043253000,-0.81761997,150.00322,-1.7459310e-13
0.044253000,-0.85527691,150.00326,-1.7459397e-13
0.045253000,-0.89375433,150.00330,-1.7459487e-13
0.046253000,-0.93305041,150.00332,-1.7459578e-13
0.047253000,-0.97316336,150.00333,-1.7459672e-13
0.048253000,-1.0140914,150.00333,-1.7459767e-13
0.049253000,-1.0558327,150.00332,-1.7459864e-13
0.050253000,-1.0983855,150.00330,-1.7459963e-13
0.051253000,-1.1417479,150.00327,-1.7460064e-13
0.052253000,-1.1859183,150.00322,-1.7460167e-13
0.053253000,-1.2308947,150.00316,-1.7460272e-13
0.054253000,-1.2766753,150.00308,-1.7460378e-13
0.055253000,-1.3232585,150.00298,-1.7460487e-13
