X:Pos_TX-Body3-slider_crank(mm),Y:Pos_TX-Body3-slider_crank(mm),Y:Pos_TY-Body3-slider_crank(mm),Y:Pos_TZ-Body3-slider_crank(mm)
0.0000000,50.000000,200.00000,-3.4914813e-13
0.0010130000,49.999385,200.00031,-3.4914868e-13
0.0020370000,49.997514,200.00126,-3.4915035e-13
0.0030610000,49.994390,200.00283,-3.4915313e-13
0.0040850000,49.990015,200.00504,-3.4915702e-13
0.0051090000,49.984392,200.00788,-3.4916203e-13
0.0061330000,49.977523,200.01135,-3.4916814e-13
0.0071570000,49.969411,200.01544,-3.4917537e-13
0.0081810000,49.960058,200.02016,-3.4918369e-13
0.0092050000,49.949466,200.02551,-3.4919312e-13
0.010229000,49.937639,200.03148,-3.4920365e-13
0.011253000,49.924578,200.03807,-3.4921527e-13
0.012253000,49.910634,200.04510,-3.4922768e-13
0.013253000,49.895518,200.05272,-3.4924113e-13
0.014253000,49.879233,200.06093,-3.4925562e-13
0.015253000,49.861779,200.06973,-3.4927115e-13
0.016253000,49.843159,200.07911,-3.4928772e-13
0.017253000,49.823376,200.08908,-3.4930532e-13
0.018253000,49.802431,200.09963,-3.4932395e-13
0.019253000,49.780326,200.11075,-3.4934361e-13
0.020253000,49.757064,200.12246,-3.4936429e-13
0.021253000,49.732646,200.13474,-3.4938601e-13
0.022253000,49.707074,200.14760,-3.4940874e-13
0.023253000,49.680351,200.16104,-3.4943250e-13
0.024253000,49.652477,200.17504,-3.4945727e-13
0.025253000,49.623456,200.18962,-3.4948306e-13
0.026253000,49.593289,200.20477,-3.4950987e-13
0.027253000,49.561978,200.22048,-3.4953769e-13
0.028253000,49.529525,200.23676,-3.4956651e-13
0.029253000,49.495931,200.25360,-3.4959635e-13
0.030253000,49.461199,200.27100,-3.4962719e-13
0.031253000,49.425330,200.28896,-3.4965904e-13
0.032253000,49.388326,200.30749,-3.4969189e-13
0.033253000,49.350189,200.32656,-3.4972573e-13
0.034253000,49.310921,200.34620,-3.4976058e-13
0.035253000,49.270523,200.36638,-3.4979642e-13
0.036253000,49.228997,200.38712,-3.4983325e-13
0.037253000,49.186346,200.40840,-3.4987107e-13
0.038253000,49.142569,200.43024,-3.4990988e-13
0.039253000,49.097670,200.45261,-3.4994968e-13
0.040253000,49.051650,200.47553,-3.4999046e-13
0.041253000,49.004510,200.49899,-3.5003223e-13
0.042253000,48.956253,200.52299,-3.5007497e-13
0.043253000,48.906879,200.54753,-3.5011870e-13
0.044253000,48.856391,200.57260,-3.5016340e-13
0.045253000,48.804789,200.59821,-3.5020907e-13
0.046253000,48.752077,200.62435,-3.5025572e-13
0.047253000,48.698254,200.65101,-3.5030333e-13
0.048253000,48.643323,200.67820,-3.5035191e-13
0.049253000,48.587285,200.70592,-3.5040146e-13
0.050253000,48.530142,200.73416,-3.5045197e-13
0.051253000,48.471896,200.76292,-3.5050344e-13
0.052253000,48.412546,200.79220,-3.5055587e-13
0.053253000,48.352097,200.82200,-3.5060925e-13
0.054253000,48.290547,200.85230,-3.5066359e-13
0.055253000,48.227900,200.88313,-3.5071889e-13
0.056253000,48.164156,200.91446,-3.5077513e-13
0.057253000,48.099317,200.94629,-3.5083232e-13
0.058253000,48.033385,200.97864,-3.5089046e-13
0.059253000,47.966360,201.01148,-3.5094954e-13
0.060253000,47.898244,201.04483,-3.5100956e-13
0.061253000,47.829039,201.07867,-3.5107052e-13
0.062253000,47.758745,201.11301,-3.5113242e-13
0.063253000,47.687365,201.14785,-3.5119525e-13
0.064253000,47.614899,201.18317,-3.5125902e-13
0.065253000,47.541349,201.21898,-3.5132372e-13
0.066253000,47.466716,201.25529,-3.5138934e-13
0.067253000,47.391002,201.29207,-3.5145589e-13
0.068253000,47.314207,201.32934,-3.5152337e-13
0.069253000,47.236333,201.36708,-3.5159177e-13
0.070253000,47.157381,201.40531,-3.5166109e-13
0.071253000,47.077352,201.44400,-3.5173133e-13
0.072253000,46.996249,201.48317,-3.5180248e-13
0.073253000,46.914071,201.52281,-3.5187454e-13
0.074253000,46.830820,201.56292,-3.5194752e-13
0.075253000,46.746498,201.60349,-3.5202141e-13
0.076253000,46.661105,201.64452,-3.5209620e-13
0.077253000,46.574642,201.68601,-3.5217190e-13
