X:Pos_TX-Body1-slider_crank(mm),Y:Pos_TX-Body1-slider_crank(mm),Y:Pos_TY-Body1-slider_crank(mm),Y:Pos_TZ-Body1-slider_crank(mm)
0.61725300,-31.153260,39.108495,0.0000000
0.61825300,-31.208638,39.064318,0.0000000
0.61925300,-31.263897,39.020107,0.0000000
0.62025300,-31.319039,38.975862,0.0000000
0.62125300,-31.374061,38.931585,0.0000000
0.62225300,-31.428965,38.887275,0.0000000
0.62325300,-31.483749,38.842935,0.0000000
0.62425300,-31.538413,38.798564,0.0000000
0.62525300,-31.592956,38.754163,0.0000000
0.62625300,-31.647379,38.709733,0.0000000
0.62725300,-31.701681,38.665274,0.0000000
0.62825300,-31.755861,38.620788,0.0000000
0.62925300,-31.809920,38.576275,0.0000000
0.63025300,-31.863856,38.531736,0.0000000
0.63125300,-31.917670,38.487171,0.0000000
0.63225300,-31.971361,38.442581,0.0000000
0.63325300,-32.024929,38.397967,0.0000000
0.63425300,-32.078373,38.353330,0.0000000
0.63525300,-32.131694,38.308671,0.0000000
0.63625300,-32.184890,38.263989,0.0000000
0.63725300,-32.237961,38.219286,0.0000000
0.63825300,-32.290908,38.174563,0.0000000
0.63925300,-32.343729,38.129820,0.0000000
0.64025300,-32.396424,38.085059,0.0000000
0.64125300,-32.448994,38.040279,0.0000000
0.64225300,-32.501437,37.995481,0.0000000
0.64325300,-32.553754,37.950667,0.0000000
0.64425300,-32.605943,37.905837,0.0000000
0.64525300,-32.658006,37.860991,0.0000000
0.64625300,-32.709941,37.816131,0.0000000
0.64725300,-32.761747,37.771258,0.0000000
0.64825300,-32.813426,37.726371,0.0000000
0.64925300,-32.864976,37.681472,0.0000000
0.65025300,-32.916398,37.636562,0.0000000
0.65125300,-32.967690,37.591641,0.0000000
0.65225300,-33.018852,37.546709,0.0000000
0.65325300,-33.069885,37.501769,0.0000000
0.65425300,-33.120788,37.456820,0.0000000
0.65525300,-33.171561,37.411864,0.0000000
0.65625300,-33.222203,37.366901,0.0000000
0.65725300,-33.272714,37.321931,0.0000000
0.65825300,-33.323093,37.276956,0.0000000
0.65925300,-33.373342,37.231977,0.0000000
0.66025300,-33.423458,37.186993,0.0000000
0.66125300,-33.473442,37.142007,0.0000000
0.66225300,-33.523294,37.097018,0.0000000
0.66325300,-33.573014,37.052027,0.0000000
0.66425300,-33.622601,37.007036,0.0000000
0.66525300,-33.672054,36.962045,0.0000000
0.66625300,-33.721374,36.917055,0.0000000
0.66725300,-33.770560,36.872066,0.0000000
0.66825300,-33.819613,36.827080,0.0000000
0.66925300,-33.868531,36.782096,0.0000000
0.67025300,-33.917315,36.737117,0.0000000
0.67125300,-33.965964,36.692142,0.0000000
0.67225300,-34.014478,36.647173,0.0000000
0.67325300,-34.062857,36.602210,0.0000000
0.67425300,-34.111101,36.557254,0.0000000
0.67525300,-34.159208,36.512306,0.0000000
0.67625300,-34.207180,36.467366,0.0000000
0.67725300,-34.255016,36.422436,0.0000000
0.67825300,-34.302715,36.377517,0.0000000
0.67925300,-34.350278,36.332608,0.0000000
0.68025300,-34.397704,36.287711,0.0000000
0.68125300,-34.444993,36.242826,0.0000000
0.68225300,-34.492144,36.197955,0.0000000
0.68325300,-34.539158,36.153099,0.0000000
0.68425300,-34.586035,36.108257,0.0000000
0.68525300,-34.632773,36.063431,0.0000000
0.68625300,-34.679373,36.018621,0.0000000
0.68725300,-34.725835,35.973829,0.0000000
0.68825300,-34.772158,35.929056,0.0000000
0.68925300,-34.818342,35.884301,0.0000000
0.69025300,-34.864388,35.839566,0.0000000
0.69125300,-34.910294,35.794851,0.0000000
0.69225300,-34.956061,35.750158,0.0000000
0.69325300,-35.001688,35.705488,0.0000000
0.69425300,-35.047175,35.660840,0.0000000
0.69525300,-35.092523,35.616216,0.0000000
0.69625300,-35.137730,35.571617,0.0000000
0.69725300,-35.182797,35.527043,0.0000000
0.69825300,-35.227723,35.482496,0.0000000
0.69925300,-35.272509,35.437976,0.0000000
0.70025300,-35.317154,35.393483,0.0000000
0.70125300,-35.361658,35.349019,0.0000000
0.70225300,-35.406020,35.304585,0.0000000
0.70325300,-35.450241,35.260182,0.0000000
0.70425300,-35.494321,35.215809,0.0000000
0.70525300,-35.538258,35.171469,0.0000000
0.70625300,-35.582054,35.127161,0.0000000
0.70725300,-35.625708,35.082887,0.0000000
0.70825300,-35.669219,35.038647,0.0000000
0.70925300,-35.712589,34.994443,0.0000000
0.71025300,-35.755815,34.950274,0.0000000
