X:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FY_GeoContact-GeoSurContact1-complex_contact(N),Y:FZ_GeoContact-GeoSurContact1-complex_contact(N)
0.0000000,0.0000000,0.0000000,0.0000000
0.0010130000,0.0000000,0.0000000,0.0000000
0.0020370000,0.0000000,0.0000000,0.0000000
0.0030610000,0.0000000,0.0000000,0.0000000
0.0040850000,0.0000000,0.0000000,0.0000000
0.0051090000,0.0000000,0.0000000,0.0000000
0.0060050000,0.0000000,0.0000000,0.0000000
0.0070290000,0.0000000,0.0000000,0.0000000
0.0080530000,0.0000000,0.0000000,0.0000000
0.0090770000,0.0000000,0.0000000,0.0000000
0.010101000,-0.0091254714,-0.0032031539,-0.042913782
0.011125000,0.0000000,0.0000000,0.0000000
0.012149000,-0.0050143359,-0.0018169470,-0.024342280
0.013045000,-0.0040036956,-0.0014667256,-0.019650240
0.014069000,-0.0040378888,-0.0014999913,-0.020095912
0.015093000,-0.0039721065,-0.0014943161,-0.020019880
0.016117000,-0.0040592790,-0.0016064883,-0.021522690
0.017397000,-0.0023709813,-0.00059381240,-0.0079555142
0.018421000,-0.019524974,-0.0049301712,-0.066051243
0.019445000,-0.026497369,-0.0023220921,-0.099969279
0.020213000,-0.0033800618,5.8334706e-05,-0.011521463
0.021109000,-0.0053357073,-0.00068834460,-0.019429802
0.022133000,-0.0054441512,-0.00098836016,-0.020231646
0.023029000,-0.0050540833,-0.00095776068,-0.018834698
0.024053000,-0.0050722146,-0.00096388939,-0.018902267
0.025077000,-0.0050961323,-0.00097142747,-0.018991399
0.026101000,-0.0056665805,-0.00052933851,-0.020551225
0.027125000,-0.0046778527,-0.00029950890,-0.017489474
0.028149000,-0.0056309021,0.00017910639,-0.019156542
0.029045000,-0.0056129457,-0.00094931521,-0.058409026
0.030069000,0.0000000,0.0000000,0.0000000
0.031093000,-0.046003159,-0.0027940985,-0.17191400
0.032117000,-0.0010704738,2.2906041e-05,-0.0063534514
0.033141000,0.0000000,0.0000000,0.0000000
0.034165000,-0.0067879517,0.0012847510,-0.041024674
0.035189000,0.0000000,0.0000000,0.0000000
0.036213000,-0.0048100203,0.0021375048,-0.025412842
0.037109000,-0.0014784289,0.00061809697,-0.0082217766
0.038133000,-0.0049782863,0.0026391010,-0.032807719
0.039029000,-0.00010106014,6.1299435e-05,-0.00055765482
0.040053000,-0.0011897293,0.00081753720,-0.0052200963
0.041077000,-0.0032122779,0.0010596298,-0.017930785
0.042101000,-0.0036031746,0.0011954379,-0.020112751
0.043253000,-0.00087044376,0.0013285342,-0.016593199
0.044021000,-0.0010718241,0.0016128080,-0.021361139
0.045173000,-0.0010449838,0.0015878953,-0.020203516
0.046069000,-0.0012330329,0.0019242145,-0.021804226
0.047093000,-0.0015872362,0.0026450592,-0.021303721
0.048117000,-0.0021362139,0.0037224090,-0.022132896
0.049013000,-0.0018561222,0.0032696817,-0.017808831
0.050037000,-0.0020761651,0.0036593480,-0.019837729
0.051061000,-0.0020530680,0.0036205975,-0.019538189
0.052085000,-0.0020624963,0.0036391537,-0.019550273
0.053109000,-0.0020705561,0.0036553944,-0.019545401
0.054133000,-0.0021047681,0.0037181200,-0.019774706
0.055157000,-0.0020559863,0.0036344889,-0.019214063
0.056181000,-5.9739971e-06,0.0039746774,-0.015602098
0.057077000,-9.6870807e-07,0.00064604685,-0.0025299441
0.058101000,-7.5363258e-06,0.0050454808,-0.019682383
0.059125000,-7.3889656e-06,0.0049649396,-0.019297527
0.060149000,-7.3817538e-06,0.0049779236,-0.019278692
0.061429000,-7.5718092e-06,0.0051299422,-0.019775054
0.062453000,-7.2901204e-06,0.0049590703,-0.019039376
